Loading repository data...
Reading installed packages...

S  | Name                                  | Summary                                                                      | Type
i  | info                                  | A Stand-Alone Terminal-Based Info Browser                                    | package
i  | iproute2                              | Linux network configuration utilities                                        | package
i  | kbd                                   | Keyboard and Font Utilities                                                  | package
i  | kbd-legacy                            | Legacy data for kbd package                                                  | package
i  | kexec-tools                           | Tools for loading replacement kernels into memory                            | package
i  | keyutils                              | Linux Key Management Utilities                                               | package
i  | kiwi-systemdeps-core                  | KIWI - Core host system dependencies                                         | package
i  | kiwi-tools                            | KIWI - Collection of Boot Helper Tools                                       | package
i  | kmod                                  | Utilities to load modules into the kernel                                    | package
i  | kpartx                                | Manages partition tables on device-mapper devices                            | package
i  | krb5                                  | MIT Kerberos5 implementation                                                 | package
i  | less                                  | Text File Browser and Pager Similar to more                                  | package
i  | libabsl2308_0_0                       | C++11 libraries which augment the C++ stdlib                                 | package
i  | libacl1                               | A dynamic library for accessing POSIX Access Control Lists                   | package
i  | libaio1                               | Linux-Native Asynchronous I/O Access Library                                 | package
i  | libalternatives1                      | Runtime for libalternatives                                                  | package
i  | libapparmor1                          | Utility library for AppArmor                                                 | package
i  | libargon2-1                           | The reference C implementation of Argon2                                     | package
i  | libasm1                               | A collection of utilities and DSOs to handle compiled objects                | package
i  | libassuan0                            | IPC library used by GnuPG version 2                                          | package
i  | libattr1                              | A dynamic library for filesystem extended attribute support                  | package
i  | libaudit1                             | Library for interfacing with the kernel audit subsystem                      | package
i  | libaugeas0                            | A library for changing configuration files                                   | package
i  | libblkid1                             | Filesystem detection library                                                 | package
i  | libboost_thread1_82_0                 | Boost.Thread runtime libraries                                               | package
i  | libbpf1                               | C library for managing eBPF programs and maps                                | package
i  | libbrotlicommon1                      | Common Library for Brotli Compression                                        | package
i  | libbrotlidec1                         | Library for Brotli Decompression                                             | package
i  | libbtrfs0                             | Library for interacting with Btrfs                                           | package
i  | libbtrfsutil1                         | Utility library for interacting with Btrfs                                   | package
i  | libburn4                              | Library for Writing Preformatted Data onto Optical Media                     | package
i  | libbz2-1                              | The bzip2 runtime library                                                    | package
i  | libcap-ng0                            | An alternate Linux/POSIX capabilities library                                | package
i  | libcap2                               | Library for Capabilities (linux-privs) Support                               | package
i  | libcapstone4                          | A multi-platform, multi-architecture disassembly framework                   | package
i  | libcbor0_10                           | Library for parsing Concise Binary Object Representation (CBOR)              | package
i  | libcom_err2                           | E2fsprogs error reporting library                                            | package
i  | libcomps0                             | Libraries for libcomps                                                       | package
i  | libconfig11                           | C API of libconfig                                                           | package
i  | libcrack2                             | Library to crack passwords using dictionaries                                | package
i  | libcrypt1                             | Extended crypt library for DES, MD5, Blowfish and others                     | package
i  | libcryptsetup12                       | Library for setting up dm-crypt Based Encrypted Block Devices                | package
i  | libctf-nobfd0                         | Compact C Type Format library (runtime, no BFD dependency)                   | package
i  | libctf0                               | Compact C Type Format library (runtime, BFD dependency)                      | package
i  | libcurl4                              | Library for transferring data from URLs                                      | package
i  | libdb-4_8                             | Berkeley DB Database Library Version 4.8                                     | package
i  | libdbus-1-3                           | Library package for D-Bus                                                    | package
i  | libdevmapper-event1_03                | Event library for device-mapper                                              | package
i  | libdevmapper1_03                      | Library for device-mapper                                                    | package
i  | libdialog15                           | Menus and Input Boxes for Shell Scripts                                      | package
i  | libdnf2                               | Library providing an interface atop libsolv                                  | package
i  | libdw1                                | Library to access DWARF debugging information                                | package
i  | libeconf0                             | Enhanced config file parser ala systemd                                      | package
i  | libedit0                              | Command Line Editing and History Library                                     | package
i  | libefa1                               | EFA runtime library                                                          | package
i  | libelf1                               | Library to read and write ELF files                                          | package
i  | libexpat1                             | XML Parser Toolkit                                                           | package
i  | libexslt0                             | EXSLT Library                                                                | package
i  | libext2fs2                            | Ext2fs library                                                               | package
i  | libfa1                                | Finite automaton library for Augeas                                          | package
i  | libfdisk1                             | Filesystem detection library                                                 | package
i  | libfdt1                               | Device tree library                                                          | package
i  | libffi8                               | Foreign Function Interface Library                                           | package
i  | libfido2-1                            | FIDO U2F and FIDO 2.0 protocols                                              | package
i  | libgcc_s1                             | C compiler runtime library                                                   | package
i  | libgcrypt20                           | The GNU Crypto Library                                                       | package
i  | libgdbm6                              | GNU dbm key/data database                                                    | package
i  | libgdbm_compat4                       | GNU dbm key/data database compat wrapper                                     | package
i  | libgio-2_0-0                          | A virtual file system library API                                            | package
i  | libgirepository-1_0-1                 | GObject Introspection Library                                                | package
i  | libglib-2_0-0                         | General-Purpose Utility Library                                              | package
i  | libgmodule-2_0-0                      | General-Purpose Utility Library -- Library for Modules                       | package
i  | libgmp10                              | A library for calculating huge numbers                                       | package
i  | libgnutls30                           | The GNU Transport Layer Security Library                                     | package
i  | libgobject-2_0-0                      | Object-Oriented Framework for C                                              | package
i  | libgomp1                              | The GNU compiler collection OpenMP runtime library                           | package
i  | libgpg-error0                         | Library That Defines Common Error Values for All GnuPG Components            | package
i  | libgpgme11                            | Programmatic library interface to GnuPG                                      | package
i  | libhidapi-hidraw0                     | Simple library for communicating with USB and Bluetooth HID devices          | package
i  | libhogweed6                           | Cryptographic Library for Public Key Algorithms                              | package
i  | libhugetlbfs                          | Helper library for the Huge Translation Lookaside Buffer Filesystem          | package
i  | libibverbs                            | Library & drivers for direct userspace use of InfiniBand/iWARP/RoCE hardware | package
i  | libibverbs1                           | Ibverbs runtime library                                                      | package
i  | libidn2-0                             | Support for Internationalized Domain Names (IDN)                             | package
i  | libimaevm4                            | IMA/EVM control utility libary                                               | package
i  | libinih0                              | INIH dynamic libary files                                                    | package
i  | libip4tc2                             | Library for the ip_tables low-level ruleset generation and parsing (IPv4)    | package
i  | libisoburn1                           | Frontend for libburn and libisofs                                            | package
i  | libisofs6                             | Library for Creating ISO-9660 Filesystems                                    | package
i  | libjitterentropy3                     | Jitter entropy generator shared library                                      | package
i  | libjpeg8                              | A SIMD-accelerated JPEG compression/decompression library                    | package
i  | libjson-c5                            | JSON-C shared library                                                        | package
i  | libjte2                               | Jigdo Template Export Library                                                | package
i  | libkcapi-tools                        | Linux Kernel Crypto API User Space Tools                                     | package
i  | libkcapi1                             | Linux Kernel Crypto API User Space Interface Library                         | package
i  | libkeyutils1                          | Key utilities library                                                        | package
i  | libkmod2                              | Library to interact with Linux kernel modules                                | package
i  | libksba8                              | A X.509 Library                                                              | package
i  | libldap2                              | OpenLDAP Client Libraries                                                    | package
i  | liblldp_clif1                         | Link Layer Discovery Protocol (LLDP) libraries                               | package
i  | liblua5_4-5                           | The Lua integration library                                                  | package
i  | liblvm2cmd2_03                        | LVM2 command line library                                                    | package
i  | liblz4-1                              | Hash-based predictive Lempel-Ziv compressor                                  | package
i  | liblzma5                              | Lempel–Ziv–Markov chain algorithm compression library                        | package
i  | liblzo2-2                             | A Real-Time Data Compression Library                                         | package
i  | libmagic1                             | Library for heuristic file type identification                               | package
i  | libmana1                              | MANA runtime library                                                         | package
i  | libmediacheck6                        | Library for checking installation or Live media                              | package
i  | libmlx4-1                             | MLX4 runtime library                                                         | package
i  | libmlx5-1                             | MLX5 runtime library                                                         | package
i  | libmnl0                               | Minimalistic Netlink communication library                                   | package
i  | libmodulemd2                          | Main library for libmodulemd                                                 | package
i  | libmount1                             | Device mount library                                                         | package
i  | libmpdec3                             | C library for arbitrary precision decimal floating point arithmetic          | package
i  | libmpfr6                              | The GNU multiple-precision floating-point shared library                     | package
i  | libncurses6                           | Terminal control library                                                     | package
i  | libndctl6                             | Management library for "libnvdimm" subsystem devices (Non-volatile Memory)   | package
i  | libnettle8                            | Cryptographic Library                                                        | package
i  | libnghttp2-14                         | Shared library for nghttp2                                                   | package
i  | libnl-config                          | Name maps for libnl                                                          | package
i  | libnl3-200                            | Convenience library for working with Netlink sockets                         | package
i  | libnpth0                              | GNU Portable Threads library                                                 | package
i  | libnss_usrfiles2                      | NSS usrfiles plugin for glibc                                                | package
i  | libnuma1                              | NUMA Policy Control                                                          | package
i  | libnvme-mi1                           | NVMe Managament Interface library for libnvme                                | package
i  | libnvme1                              | Linux-native nvme device management library                                  | package
i  | libopeniscsiusr0                      | The iSCSI User-level Library                                                 | package
i  | libopenssl1_1                         | Secure Sockets and Transport Layer Security                                  | package
i  | libopenssl3                           | Secure Sockets and Transport Layer Security                                  | package
i  | libp11-kit0                           | Library to work with PKCS#11 modules                                         | package
i  | libpciaccess0                         | Generic PCI access library                                                   | package
i  | libpcre2-8-0                          | A library for Perl-compatible regular expressions                            | package
i  | libpeas-1_0-0                         | GObject-based Plugin Engine                                                  | package
i  | libpixman-1-0                         | Pixel manipulation library                                                   | package
i  | libpkgconf3                           | Backend library for pkgconf                                                  | package
i  | libpmem1                              | Low-level persistent memory support library                                  | package
i  | libpng16-16                           | Library for the Portable Network Graphics Format (PNG)                       | package
i  | libpopt0                              | A C library for parsing command line parameters                              | package
i  | libprocps8                            | The procps library                                                           | package
i  | libprotobuf-lite23_4_0                | Protocol Buffers - Google's data interchange format                          | package
i  | libproxy1                             | Automatic proxy configuration management for applications                    | package
i  | libpsl5                               | C library for the Publix Suffix List                                         | package
i  | libpwquality1                         | Library for password quality checking and generating random passwords        | package
i  | libpython3_11-1_0                     | Python Interpreter shared library                                            | package
i  | librdmacm1                            | Userspace RDMA Connection Manager                                            | package
i  | libreadline8                          | The Readline Library                                                         | package
i  | librepo0                              | Repodata downloading library                                                 | package
i  | librpmbuild9                          | Library for building RPM packages                                            | package
i  | libsasl2-3                            | Simple Authentication and Security Layer (SASL) library                      | package
i  | libseccomp2                           | An enhanced Seccomp (mode 2) helper library                                  | package
i  | libselinux1                           | SELinux runtime library                                                      | package
i  | libsemanage-conf                      | Configuration for the SELinux policy management library                      | package
i  | libsemanage2                          | SELinux policy management library                                            | package
i  | libsepol2                             | SELinux binary policy manipulation library                                   | package
i  | libsha1detectcoll1                    | Library that can detect SHA-1 collisions                                     | package
i  | libsigc-2_0-0                         | Typesafe Signal Framework for C++                                            | package
i  | libslirp0                             | A networking Library                                                         | package
i  | libslp1                               | An Implementation of the Service Location Protocol V2                        | package
i  | libsmartcols1                         | Column-based text sort engine                                                | package
i  | libsnapper7                           | Library for filesystem snapshot management                                   | package
i  | libsnappy1                            | Shared library from snappy                                                   | package
i  | libsolv-tools                         | Utilities to work with .solv files                                           | package
i  | libsqlite3-0                          | Shared libraries for the Embeddable SQL Database Engine                      | package
i  | libssh-config                         | SSH library configuration files                                              | package
i  | libssh4                               | SSH library                                                                  | package
i  | libstdc++6                            | The standard C++ shared library                                              | package
i  | libsubid4                             | A library to manage subordinate uid and gid ranges                           | package
i  | libsystemd0                           | Component library for systemd                                                | package
i  | libtasn1-6                            | ASN.1 parsing library                                                        | package
i  | libtirpc-netconfig                    | Netconfig configuration file for TI-RPC Library                              | package
i  | libtirpc3                             | Transport Independent RPC Library                                            | package
i  | libtss2-esys0                         | TPM2 Enhanced System API (ESAPI)                                             | package
i  | libtss2-mu0                           | TPM2 marshaling/unmarshaling library                                         | package
i  | libtss2-rc0                           | TPM2 error code translation library                                          | package
i  | libtss2-sys1                          | TPM2 System API (SAPI)                                                       | package
i  | libtukit4                             | Library for doing transactional updates using Btrfs snapshots                | package
i  | libudev1                              | Dynamic library to access udev device information                            | package
i  | libunistring5                         | GNU Unicode string library                                                   | package
i  | liburcu8                              | Userspace Read-Copy-Update Library                                           | package
i  | liburing2                             | Linux-native io_uring I/O access library                                     | package
i  | libusb-1_0-0                          | USB Library                                                                  | package
i  | libutempter0                          | Shared library of utempter                                                   | package
i  | libuuid1                              | Library to generate UUIDs                                                    | package
i  | libvdeplug3                           | VDE plug library                                                             | package
i  | libverto1                             | Runtime libraries for libverto                                               | package
i  | libwrap0                              | The TCP wrapper library                                                      | package
i  | libxml2-2                             | A Library to Manipulate XML Files                                            | package
i  | libxslt1                              | XSL Transformation Library                                                   | package
i  | libxtables12                          | The iptables plugin interface                                                | package
i  | libxxhash0                            | Shared library for xxHash - a non-cryptographic hash algorithm               | package
i  | libyajl2                              | Yet Another JSON Library                                                     | package
i  | libyaml-0-2                           | A YAML parser and emitter written in C                                       | package
i  | libyaml-cpp0_8                        | YAML parser and emitter in C++                                               | package
i  | libz1                                 | Library implementing the DEFLATE compression algorithm                       | package
i  | libzck1                               | Zchunk library                                                               | package
i  | libzio1                               | A Library for Accessing Compressed Text Files                                | package
i  | libzstd1                              | Zstd compression library                                                     | package
i  | libzypp                               | Library for package, patch, pattern and product management                   | package
i  | login_defs                            | The login.defs configuration file                                            | package
i+ | lsb-release                           | Linux Standard Base Release Tools                                            | package
i  | lsof                                  | A Program That Lists Information about Files Opened by Processes             | package
i  | lvm2                                  | Logical Volume Manager Tools                                                 | package
i  | mdadm                                 | Utility for configuring "MD" software RAID devices                           | package
i  | microdnf                              | Lightweight implementation of DNF in C                                       | package
i  | mtools                                | Tools to access MS-DOS filesystems without kernel drivers                    | package
i+ | nbd                                   | Network Block Device Server and Client Utilities                             | package
i  | ncurses-utils                         | Tools using the new curses libraries                                         | package
i+ | netcfg                                | Network Configuration Files in /etc                                          | package
i+ | nvme-cli                              | NVM Express user space tools                                                 | package
i+ | open-iscsi                            | Linux iSCSI Software Initiator                                               | package
i  | open-isns                             | Partial Implementation of iSNS iSCSI registration                            | package
i+ | open-lldp                             | Link Layer Discovery Protocol (LLDP) Agent                                   | package
i  | openssh-clients                       | SSH (Secure Shell) client applications                                       | package
i  | openssh-common                        | SSH (Secure Shell) common files                                              | package
i  | openssh-fips                          | OpenSSH FIPS crypto module HMACs                                             | package
i+ | openssl                               | Secure Sockets and Transport Layer Security                                  | package
i  | openssl-3                             | Secure Sockets and Transport Layer Security                                  | package
i+ | openSUSE                              | openSUSE Tumbleweed                                                          | product
i+ | openSUSE-build-key                    | The public gpg keys for rpm package signature verification                   | package
i+ | openSUSE-release                      | openSUSE Tumbleweed                                                          | package
i+ | openSUSE-release-appliance-docker     | openSUSE Tumbleweed                                                          | package
i+ | osc                                   | Command-line client for the Open Build Service                               | package
i  | p11-kit                               | Library to work with PKCS#11 modules                                         | package
i  | p11-kit-tools                         | Library to work with PKCS#11 modules -- Tools                                | package
i  | pam                                   | A Security Tool that Provides Authentication for Applications                | package
i  | pam-config                            | Utility to modify common PAM configuration files                             | package
i+ | patterns-base-fips                    | FIPS 140-2 specific packages                                                 | package
i  | perl                                  | The Perl interpreter                                                         | package
i  | perl-base                             | The Perl interpreter                                                         | package
i  | perl-Bootloader                       | Tool for boot loader configuration                                           | package
i  | perl-Error                            | Error/exception handling in an OO-ish way                                    | package
i  | perl-Git                              | perl Bindings for Git                                                        | package
i  | permissions                           | SUSE Linux Default Permissions                                               | package
i  | permissions-config                    | SUSE Linux Default Permissions config files                                  | package
i  | pigz                                  | Multi-core gzip version                                                      | package
i  | pinentry                              | Collection of Simple PIN or Passphrase Entry Dialogs                         | package
i  | pkgconf                               | Package compiler and linker metadata toolkit                                 | package
i  | pkgconf-m4                            | m4 macros for pkgconf                                                        | package
i  | pkgconf-pkg-config                    | pkgconf shim to provide /usr/bin/pkg-config                                  | package
i  | procps                                | The ps utilities for /proc                                                   | package
i  | pv                                    | PipeViewer - Monitor the Progress of Data through Pipes                      | package
i  | python3-dnf                           | Python 3 interface to DNF                                                    | package
i  | python3-hawkey                        | Python 3 bindings for the hawkey interface                                   | package
i+ | python3-kiwi                          | KIWI - Appliance Builder Next Generation                                     | package
i  | python3-libcomps                      | Python 3 bindings for libcomps library                                       | package
i  | python3-libdnf                        | Python 3 bindings for the libdnf library                                     | package
i  | python3-libmodulemd                   | Python 3 bindings for libmodulemd                                            | package
i  | python311                             | Python 3 Interpreter                                                         | package
i  | python311-apipkg                      | Namespace control and lazy-import mechanism                                  | package
i  | python311-base                        | Python 3 Interpreter and Stdlib Core                                         | package
i  | python311-certifi                     | Python package for providing Mozilla's CA Bundle                             | package
i  | python311-cffi                        | Foreign Function Interface for Python calling C code                         | package
i  | python311-charset-normalizer          | Python Universal Charset detector                                            | package
i  | python311-cryptography                | Python library which exposes cryptographic recipes and primitives            | package
i  | python311-cssselect                   | CSS3 selectors for Python                                                    | package
i  | python311-curses                      | Python Interface to the (N)Curses Library                                    | package
i  | python311-docopt                      | Pythonic argument parser                                                     | package
i  | python311-gobject                     | Python bindings for GObject                                                  | package
i  | python311-gpg                         | Python 3.11 bindings for GPGME, a library for accessing GnuPG                | package
i  | python311-idna                        | Internationalized Domain Names in Applications (IDNA)                        | package
i  | python311-iniconfig                   | iniconfig: brain-dead simple config-ini parsing                              | package
i  | python311-lxml                        | Pythonic XML processing library                                              | package
i  | python311-py                          | Library with cross-python path, ini-parsing, io, code, log facilities        | package
i  | python311-pycparser                   | C parser in Python                                                           | package
i  | python311-pyOpenSSL                   | Python wrapper module around the OpenSSL library                             | package
i  | python311-PyYAML                      | YAML parser and emitter for Python                                           | package
i  | python311-requests                    | Python HTTP Library                                                          | package
i  | python311-rpm                         | Python Bindings for Manipulating RPM Packages                                | package
i  | python311-setuptools                  | Download, build, install, upgrade, and uninstall Python packages             | package
i  | python311-simplejson                  | Extensible JSON encoder/decoder for Python                                   | package
i  | python311-six                         | Python 2 and 3 compatibility utilities                                       | package
i  | python311-urllib3                     | HTTP library with thread-safe connection pooling, file post, and more        | package
i+ | python311-xmltodict                   | Module to make XML working resemble JSON                                     | package
i+ | qemu                                  | Machine emulator and virtualizer                                             | package
i  | qemu-accel-tcg-x86                    | TCG accelerator for QEMU                                                     | package
i+ | qemu-img                              | QEMU disk image utility                                                      | package
i  | qemu-ipxe                             | PXE ROMs for QEMU NICs                                                       | package
i  | qemu-ovmf-x86_64                      | Open Virtual Machine Firmware - QEMU rom images (x86_64)                     | package
i  | qemu-seabios                          | x86 Legacy BIOS for QEMU                                                     | package
i  | qemu-vgabios                          | VGA BIOSes for QEMU                                                          | package
i  | qemu-x86                              | Machine emulator and virtualizer for x86 architectures                       | package
i  | rdma-core                             | RDMA core userspace libraries and daemons                                    | package
i+ | rpcbind                               | Transport independent RPC portmapper                                         | package
i  | rpm                                   | The RPM Package Manager                                                      | package
i  | rpm-config-SUSE                       | SUSE specific RPM configuration files                                        | package
i  | rsync                                 | Versatile tool for fast incremental file transfer                            | package
i  | screen                                | A program to allow multiple screens on a VT100/ANSI Terminal                 | package
i  | sed                                   | A Stream-Oriented Non-Interactive Text Editor                                | package
i  | shadow                                | Utilities to Manage User and Group Accounts                                  | package
i  | shared-mime-info                      | Shared MIME Database                                                         | package
i  | snapper                               | Tool for filesystem snapshot management                                      | package
i+ | squashfs                              | A Read-Only File System with Efficient Compression                           | package
i+ | sudo                                  | Execute some commands as root                                                | package
i  | suse-module-tools                     | Configuration for module loading and SUSE-specific utilities for KMPs        | package
i  | system-group-hardware                 | Hardware related system groups                                               | package
i  | system-group-kvm                      | System group kvm                                                             | package
i  | system-user-lp                        | System user lp                                                               | package
i  | system-user-qemu                      | System user and group qemu                                                   | package
i  | system-user-root                      | System user and group root                                                   | package
i  | systemd                               | A System and Session Manager                                                 | package
i  | systemd-default-settings              | Customization of systemd default settings for SUSE distributions             | package
i  | systemd-default-settings-branding-SLE | Specific customization of systemd defaults settings for SLE                  | package
i  | systemd-presets-branding-MicroOS      | Systemd default presets for openSUSE MicroOS                                 | package
i  | systemd-presets-common-SUSE           | Systemd default presets for SUSE distributions                               | package
i  | systemd-rpm-macros                    | RPM macros for systemd                                                       | package
i  | sysuser-shadow                        | Tool to execute sysusers.d with shadow utilities                             | package
i+ | tar                                   | GNU implementation of ((t)ape (ar)chiver)                                    | package
i  | terminfo-base                         | A terminal descriptions database                                             | package
i  | thin-provisioning-tools               | Thin Provisioning Tools                                                      | package
i+ | timezone                              | Time Zone Descriptions                                                       | package
i  | tukit                                 | Tool for doing transactional updates using Btrfs snapshots                   | package
i  | typelib-1_0-Modulemd-2_0              | GObject Introspection interface description for libmodulemd                  | package
i  | udev                                  | A rule-based device node and kernel event manager                            | package
i  | update-alternatives                   | Maintain symbolic links determining default commands                         | package
i  | util-linux                            | A collection of basic system utilities (core part)                           | package
i  | util-linux-systemd                    | A collection of basic system utilities (systemd dependent part)              | package
i+ | which                                 | Displays where a particular program in your path is located                  | package
i  | xen-libs                              | Xen Virtualization: Libraries                                                | package
i  | xfsprogs                              | Utilities for managing the XFS file system                                   | package
i  | xorriso                               | ISO 9660 Rock Ridge Filesystem Manipulator                                   | package
i  | xz                                    | A Program for Compressing Files with the Lempel–Ziv–Markov algorithm         | package
i  | zstd                                  | Zstandard compression tools                                                  | package
i+ | zypper                                | Command line software manager using libzypp                                  | package
